expected semantic name,input,correct/incorrect,not_correct_segment,correct_segment_v2,correct_segment_v3,no_idx_in_semantic
สอบถามวงเงินคงเหลือ,ตอนนี้บัตร jcb รูดได้อีกเท่าไร,no,ตอนนี้ บัตร jcb รูด ได้ อีก เท่าไร,ตอนนี้ บัตร jcb รูด ได้ อีก เท่าไร,ตอนนี้ บัตร jcb รูด ได้ อีก เท่าไร,6
สอบถาม swift code,น้องคะ พี่จะโอนเงินให้ลูกสาวที่ ตปท แต่ไม่รู้ swiftcodeต้องติดต่อขอรหัสที่ใครคะ ขอด่วนๆนะคะ พี่รีบ!!!!,no,น้อง คะ พี่ จะ โอนเงิน ให้ ลูกสาว ที่ ต ปท แต่ ไม่รู้ swiftcode ต้อง ติดต่อ ขอ รหัส ที่ ใคร คะ ขอ ด่วน ๆ นะคะ พี่ รีบ !! !!,น้อง คะ พี่ จะ โอนเงิน ให้ ลูกสาว ที่ ต่างประเทศ แต่ ไม่รู้ swiftcode ต้อง ติดต่อ ขอ รหัส ที่ ใคร คะ ขอ ด่วน ๆ นะคะ พี่ รีบ !! !!,น้อง คะ พี่ จะ โอนเงิน ให้ ลูกสาว ที่ ต่างประเทศ แต่ ไม่รู้ swiftcode ต้อง ติดต่อ ขอ รหัส ที่ ใคร คะ ขอ ด่วน ๆ นะคะ พี่ รีบ !! !!,6
สอบถามรหัสประจำตัว,รหัสประจำตัวใช่ user ที่ log in kma ไหม,yes,รหัส ประจำตัว ใช่ user ที่ log in kma ไหม,รหัส ประจำตัว ใช่ user ที่ log in kma ไหม,รหัส ประจำตัว ใช่ user ที่ log in kma ไหม,6
อัตราการแลกเปลี่ยนเงินตราต่างประเทศ,ขอติดต่อสอบถามอัตราแลกเปลี่ยนค่ะ,yes,ขอ ติดต่อสอบถาม อัตรา แลกเปลี่ยน ค่ะ,ขอ ติดต่อสอบถาม อัตรา แลกเปลี่ยน ค่ะ,ขอ ติดต่อสอบถาม อัตรา แลกเปลี่ยน ค่ะ,6
สอบถามการต่อประกัน,ขอรายละเอียดต่ออายุกรมธรรม์ค่ะ,no,ขอ รายละเอียด ต่ออายุ กรมธรรม์ ค่ะ,ขอ รายละเอียด ต่ออายุ กรมธรรม์ ค่ะ,ขอ รายละเอียด ต่ออายุ กรมธรรม์ ค่ะ,6
ลืม account,ลืม username,yes,ลืม username,ลืม username,ลืม username,6
สอบถามเวลาปิดรับ cheque,ขอสอบถาม เวลาปิดรับเช็ค หน่อยค่ะ,yes,ขอ สอบถาม เวลา ปิด รับ เช็ค หน่อย ค่ะ,ขอ สอบถาม เวลา ปิด รับ เช็ค หน่อย ค่ะ,ขอ สอบถาม เวลา ปิด รับ เช็ค หน่อย ค่ะ,6
สอบถามการสมัคร app,สอบถามการสมัคร app,yes,สอบถาม การ สมัคร app,สอบถาม การ สมัคร app,สอบถาม การ สมัคร app,6
สมัคร app,เจ้าหมีๆสอนสมัคร kmaหน่อยสิ,yes,เจ้า หมี ๆ สอน สมัคร kma หน่อย สิ,เจ้า หมี ๆ สอน สมัคร kma หน่อย สิ,เจ้า หมี ๆ สอน สมัคร kma หน่อย สิ,6
สอบถามการติดตั้ง mobile app,จะ download app ของกรุงศรีบนมือถือ ต้องไปที่ไหน,no,จะ download app ของ กรุงศรี บน มือถือ ต้อง ไป ที่ไหน,จะ download app ของ กรุงศรี บน มือถือ ต้อง ไป ที่ไหน,จะ download app ของ กรุงศรี บน มือถือ ต้อง ไป ที่ไหน,6
สอบถามวิธีใช้ app,อยากลบบัญชีใน kma,yes,อยาก ลบ บัญชี ใน kma,อยาก ลบ บัญชี ใน kma,อยาก ลบ บัญชี ใน kma,6
สอบถามหลักประกัน,กู้เงินส่วนบุคคลต้องใช้หลักประกันไหม,yes,กู้เงิน ส่วนบุคคล ต้อง ใช้ หลัก ประกัน ไหม,กู้เงิน ส่วนบุคคล ต้อง ใช้ หลัก ประกัน ไหม,กู้เงิน ส่วนบุคคล ต้อง ใช้ หลักประกัน ไหม,6
สอบถามช่องทางการชำระ,ช่องทางชำระค่างวดประกันมีกี่ช่องทาง,yes,ช่องทาง ชำระ ค่างวด ประกัน มี กี่ ช่องทาง,ช่องทาง ชำระ ค่างวด ประกัน มี กี่ ช่องทาง,ช่องทาง ชำระ ค่างวด ประกัน มี กี่ ช่องทาง,6
เงินในบัญชีหาย,ทำไมเงิน statement ใน app กะ ในสมุดไม่ตรงกันอะค่ะ เหมือนหายไป100 บาทค่ะ,no,ทำไม เงิน statement ใน app กะ ใน สมุด ไม่ ตรงกัน อะ ค่ะ เหมือน หายไป 1## บาท ค่ะ,ทำไม เงิน statement ใน app กับ ใน สมุด ไม่ ตรงกัน อะ ค่ะ เหมือน หายไป 1## บาท ค่ะ,ทำไม เงิน statement ใน app กับ ใน สมุด ไม่ ตรงกัน อะ ค่ะ เหมือน หายไป 1## บาท ค่ะ,6
ไม่ได้รับ otp,จะโอนเงิน แต่ไม่ได้รับ otp,no,จะ โอนเงิน แต่ ไม่ ได้รับ otp,จะ โอนเงิน แต่ ไม่ ได้รับ otp,จะ โอนเงิน แต่ ไม่ ได้รับ otp,6
otp ถูก lock,ระบบแจ้งโอทีพีล็อคค่ะ ต้องทำไงค่ะ,yes,ระบบ แจ้ง โอทีพี ล็อค ค่ะ ต้อง ทำไง ค่ะ,ระบบ แจ้ง otp ล็อค ค่ะ ต้องทำไง ค่ะ,ระบบ แจ้ง otp ล็อค ค่ะ ต้องทำไง ค่ะ,6
สอบถาม promptpay,สิทธิประโยชน์พร้อมเพย์มีอะไรบ้างค่ะ,yes,สิทธิประโยชน์ พร้อม เพย์ มี อะไร บ้าง ค่ะ,สิทธิประโยชน์ promptpay มีอะไรบ้าง ค่ะ,สิทธิประโยชน์ promptpay มีอะไรบ้าง ค่ะ,6
ปัญหาการใช้ app,ทำไมเข้า kma ไม่ได้อะ,yes,ทำไม เข้า kma ไม่ได้ อะ,ทำไม เข้า kma ไม่ได้ อะ,ทำไม เข้า kma ไม่ได้ อะ,6
สอบถามสถานที่ตั้ง atm,หา เอทีเอ็ม ที่ใกล้ที่สุดตอนนี้ !,yes,หา เอทีเอ็ม ที่ ใกล้ ที่สุด ตอนนี้ !,หา atm ที่ ใกล้ ที่สุด ตอนนี้ !,หา atm ที่ ใกล้ ที่สุด ตอนนี้ !,6
สอบถามการโอนเงินจากต่างประเทศ,ระยะเวลาการโอนเงินต่างประเทศ,yes,ระยะเวลา การ โอนเงิน ต่างประเทศ,ระยะเวลา การ โอนเงิน ต่างประเทศ,ระยะเวลา การ โอนเงิน ต่างประเทศ,6
อายัดบัตร,บัดปลิววววว อายัต,yes,บัด ปลิว วว วว อายัต,บัด ปลิว วว วว อายัต,บัด ปลิว วว วว อายัต,6
อายัด cheque,ถ้าจะอายัด cheque ต้องทำยังไง,yes,ถ้า จะ อายัด cheque ต้อง ทำ ยังไง,ถ้า จะ อายัด cheque ต้อง ทำ ยังไง,ถ้า จะ อายัด cheque ต้อง ทำ ยังไง,6
อายัดบัญชี,i need hold account,yes,i need hold account,i need hold account,i need hold account,6
ต้องการยกเลิกประกัน,คือ สมัครประกันไว้ ถ้ายกเลิกก่อนกำหนดนี่ได้เงินคืนไหมค่ะ,no,คือ สมัคร ประกัน ไว้ ถ้า ยกเลิก ก่อนกำหนด นี่ ได้ เงิน คืน ไหม ค่ะ,คือ สมัคร ประกัน ไว้ ถ้า ยกเลิก ก่อนกำหนด นี่ ได้ เงิน คืน ไหมค่ะ,คือ สมัคร ประกัน ไว้ ถ้า ยกเลิก ก่อนกำหนด นี่ ได้ เงิน คืน ไหมค่ะ,6
ขอยกเลิก promptpay,ต้องการยกเลิกพร้อมเพย์,no,ต้องการ ยกเลิก พร้อม เพย์,ต้องการ ยกเลิก promptpay,ต้องการ ยกเลิก promptpay,6
สอบถาม krungsri bff,สิทธิประโยชน์ ของ krungsri bff มีอะไรบ้างอะคะ,no,สิทธิประโยชน์ ของ krungsri bff มี อะไร บ้าง อะ คะ,สิทธิประโยชน์ ของ krungsri bff มีอะไรบ้าง อะคะ,สิทธิประโยชน์ ของ krungsri bff มีอะไรบ้าง อะคะ,6
สอบถาม krungsri gift,ตอนนี้ร้านไหนใช้ krungsri gift ได้บ้าง,no,ตอนนี้ ร้าน ไหน ใช้ krungsri gift ได้ บ้าง,ตอนนี้ ร้าน ไหน ใช้ krungsri gift ได้ บ้าง,ตอนนี้ ร้าน ไหน ใช้ krungsri gift ได้ บ้าง,6
สอบถาม krungsri quickpay,วิธีการสมัคร krungsri quickpay ต้องทำอย่างไร,yes,วิธีการ สมัคร krungsri quickpay ต้อง ทำ อย่างไร,วิธีการ สมัคร krungsri quickpay ต้อง ทำอย่างไร,วิธีการ สมัคร krungsri quickpay ต้อง ทำอย่างไร,6
สอบถาม krungsri มั่งมี,ตามรานค้าที่มี qr ให้สแกน ของ krungsri มั่งมี เราต้องสแกนผ่านอะไร,yes,ตาม ราน ค้า ที่ มี qr ให้ สแกน ของ krungsri มั่งมี เรา ต้อง สแกน ผ่าน อะไร,ตาม ราน ค้า ที่ มี qr ให้ สแกน ของ krungsri มั่งมี เรา ต้อง สแกน ผ่าน อะไร,ตาม ราน ค้า ที่ มี qr ให้ สแกน ของ krungsri มั่งมี เรา ต้อง สแกน ผ่าน อะไร,6
สอบถาม paypal,จ่ายเงินผ่าน paypal คืออะไร,yes,จ่ายเงิน ผ่าน paypal คือ อะไร,จ่ายเงิน ผ่าน paypal คือ อะไร,จ่ายเงิน ผ่าน paypal คือ อะไร,6
verify by visa,ยังไม่เคยใช้บริการ verify by visa ต้องเริ่มยังไงคะ,no,ยัง ไม่เคย ใช้ บริการ verify by visa ต้อง เริ่ม ยังไง คะ,ยัง ไม่เคย ใช้ บริการ verify by visa ต้อง เริ่ม ยังไง คะ,ยัง ไม่เคย ใช้ บริการ verify by visa ต้อง เริ่ม ยังไง คะ,6
สอบถามการใช้บัตรในต่างประเทศ,ใช้บัตรเดบิต ที่ต่างประเทศ เรทเงินเป็นอย่างไร,no,ใช้ บัตรเดบิต ที่ ต่างประเทศ เรท เงิน เป็น อย่างไร,ใช้ บัตรเดบิต ที่ ต่างประเทศ เรท เงิน เป็น อย่างไร,ใช้ บัตรเดบิต ที่ ต่างประเทศ เรท เงิน เป็น อย่างไร,6
ทำสมุดบัญชีใหม่,สมุดบัญชีหมดเล่ม ถ้าจะออกสมุดใหม่เสียค่าธรรมเนียนไหมคะ,yes,สมุดบัญชี หมด เล่ม ถ้า จะ ออก สมุด ใหม่ เสีย ค่า ธรรม เนียน ไหม คะ,สมุดบัญชี หมด เล่ม ถ้า จะ ออก สมุด ใหม่ เสีย ค่า ธรรมเนียม ไหมคะ,สมุดบัญชี หมด เล่ม ถ้า จะ ออก สมุด ใหม่ เสีย ค่า ธรรมเนียม ไหมคะ,6
สอบถาม yellow point,คะแนน yellow point มีวันหมดอายุไหมค่ะ,no,คะแนน yellow point มี วันหมดอายุ ไหม ค่ะ,คะแนน yellow point มี วันหมดอายุ ไหมค่ะ,คะแนน yellow point มี วันหมดอายุ ไหมค่ะ,6
ข้อมูลผลิตภัณฑ์ประเภทสินเชื่อรถยนต์,มีรถเก่า อยากเปลี่ยนเป็นรถใหม่ มีสินเชื่อแนะนำไหมคะ,no,มี รถ เก่า อยาก เปลี่ยน เป็น รถ ใหม่ มี สินเชื่อ แนะนำ ไหม คะ,มี รถ เก่า อยาก เปลี่ยน เป็น รถ ใหม่ มี สินเชื่อ แนะนำ ไหมคะ,มี รถ เก่า อยาก เปลี่ยน เป็น รถ ใหม่ มี สินเชื่อ แนะนำ ไหมคะ,6
ปรับลดอัตราดอกเบี้ย,อัตราดอกเบี้ยเงินกู้ส่วนบุคคล นี่สามารถปรับลดลงได้ไหม,no,อัตราดอกเบี้ย เงินกู้ ส่วนบุคคล นี่ สามารถ ปรับ ลดลง ได้ไหม,อัตราดอกเบี้ย เงินกู้ ส่วนบุคคล นี่ สามารถ ปรับ ลดลง ได้ไหม,อัตราดอกเบี้ย เงินกู้ ส่วนบุคคล นี่ สามารถ ปรับ ลดลง ได้ไหม,6
สอบถามข้อมูล credit bureau,เช็คเครดิตบูโร ผ่าน krungsri online ได้ไหม,yes,เช็ค เครดิต บูโร ผ่าน krungsri online ได้ไหม,เช็ค เครดิตบูโร ผ่าน krungsri online ได้ไหม,เช็ค เครดิตบูโร ผ่าน krungsri online ได้ไหม,6
สอบถามการทำบัตร,ทำไมทำบัตรเครดิต ต้องเช็คเครดิตบูโร,no,ทำไม ทำ บัตรเครดิต ต้อง เช็ค เครดิต บูโร,ทำไม ทำบัตรเครดิต ต้อง เช็ค เครดิตบูโร,ทำไม ทำบัตรเครดิต ต้อง เช็ค เครดิตบูโร,6
สอบถามวิธีการคำนวณดอกเบี้ย,ลองคำนวณสินเชื่อบ้านให้หน่อยได้ไหมคะ,yes,ลอง คำนวณ สินเชื่อ บ้าน ให้ หน่อย ได้ไหม คะ,ลอง คำนวณ สินเชื่อ บ้าน ให้ หน่อยได้ไหม คะ,ลอง คำนวณ สินเชื่อ บ้าน ให้ หน่อยได้ไหม คะ,6
ต้องการ download เอกสารทาง online,โหลดเอกสารต่างๆ ที่ kol ได้ไหม,yes,โหลด เอกสาร ต่างๆ ที่ kol ได้ไหม,โหลด เอกสาร ต่างๆ ที่ kol ได้ไหม,โหลด เอกสาร ต่างๆ ที่ kol ได้ไหม,6
ขอใบเสร็จ,ขอใบเส็ดค่ะ,yes,ขอ ใบ เส ็ ด ค่ะ,ขอ ใบ เสร็จ ค่ะ,ขอ ใบ เสร็จ ค่ะ,6
ประนีประนอมหนี้,อยกขอลดหย่อยหนี้ค่ะ,no,อ ยก ขอ ลด หย่อย หนี้ ค่ะ,อย ก็ ลด หย่อย หนี้ ค่ะ,อย ก็ ลด หย่อย หนี้ ค่ะ,6
ข้อมูลผลิตภัณฑ์ประเภทกองทุน,กองทุนไหนคนนิยมค่ะ,yes,กองทุน ไหน คนนิยม ค่ะ,กองทุน ไหน คนนิยม ค่ะ,กองทุน ไหน คนนิยม ค่ะ,6
ภาษีเงินได้นิติบุคคล,อยากทราบข้อมูลภาษีนิติบุคคล,yes,อยาก ทราบ ข้อมูล ภาษี นิติบุคคล,อยาก ทราบ ข้อมูล ภาษี นิติบุคคล,อยาก ทราบ ข้อมูล ภาษี นิติบุคคล,6
ยกเลิกบริการเช่าตู้นิรภัย,รบกวนขอเอกสาร และขั้นตอนยกเลิกตู้นิรภัยค่ะ,yes,รบกวน ขอ เอกสาร และ ขั้นตอน ยกเลิก ตู้นิรภัย ค่ะ,รบกวน ขอ เอกสาร และ ขั้นตอน ยกเลิก ตู้นิรภัย ค่ะ,รบกวน ขอ เอกสาร และ ขั้นตอน ยกเลิก ตู้นิรภัย ค่ะ,6
ยกเลิกบัตร,ยกเลิกบัตร เดบิตให้หน่อยค่ะ,yes,ยกเลิก บัตร เดบิต ให้ หน่อย ค่ะ,ยกเลิก บัตร เดบิต ให้หน่อย ค่ะ,ยกเลิก บัตร เดบิต ให้หน่อย ค่ะ,6
สอบถามเรื่องการแลกธนบัตร,อยากได้แบงก์ใหม่,no,อยาก ได้ แบงก์ ใหม่,อยาก ได้ bank ใหม่,อยาก ได้ bank ใหม่,6
สอบถามเรื่องการแลกเหรียญ,แลกเหรียญ เศษสตางค์ได้ไหมค่ะ,yes,แลก เหรียญ เศษ สตางค์ ได้ไหม ค่ะ,แลก เหรียญ เศษ สตางค์ ได้ ไหมค่ะ,แลก เหรียญ เศษ สตางค์ ได้ ไหมค่ะ,6
วันครบกำหนดชำระ,วันคบกำหนดวันไหน,yes,วัน คบ กำหนด วัน ไหน,วัน คบ กำหนด วัน ไหน,วัน ครบ_กำหนด วัน ไหน,6
สอบถามวันประกาศผลรางวัล,ผลรางวัลจะประกาศวันไหนค่ะ,yes,ผล รางวัล จะ ประกาศ วัน ไหน ค่ะ,ผลรางวัล จะ ประกาศ วัน ไหน ค่ะ,ผลรางวัล จะ ประกาศ วัน ไหน ค่ะ,6
สอบถามการใช้บัตร,มีเอกสารวิธีการใช้บัตรเดบิตไหมค่ะ เผอิญอยากขอให้อาม่าค่ะ,no,มี เอกสาร วิธี การใช้ บัตรเดบิต ไหม ค่ะ เผอิญ อยาก ขอให้ อาม่า ค่ะ,มี เอกสาร วิธี การใช้ บัตรเดบิต ไหมค่ะ เผอิญ อยาก ขอให้ อาม่า ค่ะ,มี เอกสาร วิธี การใช้ บัตรเดบิต ไหมค่ะ เผอิญ อยาก ขอให้ อาม่า ค่ะ,6
สอบถาม krungsri online,ขอวิธี krungsri online,yes,ขอ วิธี krungsri online,ขอ วิธี krungsri online,ขอ วิธี krungsri online,6
สอบถามสถานะบัญชี,ไม่ได้ใช้บัญชีนาน ตอนนี้บัญชีปิดไปยังค่ะ,no,ไม่ได้ ใช้ บัญชี นาน ตอนนี้ บัญชี ปิด ไป ยัง ค่ะ,ไม่ได้ ใช้ บัญชี นาน ตอนนี้ บัญชี ปิด ไป ยัง ค่ะ,ไม่ได้ ใช้ บัญชี นาน ตอนนี้ บัญชี ปิด ไป ยัง ค่ะ,6
สอบถามการเปิดบัตร,เปิดบัตรไปแล้วใช้งานได้เลยไหมค่ะ,no,เปิด บัตร ไปแล้ว ใช้งาน ได้เลย ไหม ค่ะ,เปิด บัตร ไปแล้ว ใช้งาน ได้เลย ไหมค่ะ,เปิด บัตร ไปแล้ว ใช้งาน ได้เลย ไหมค่ะ,6
สอบถามการติดตั้งตู้ atm,การตั้งตู้เสียเป็นรายเดือน หรือ รายปีค่ะ,no,การ ตั้ง ตู้ เสีย เป็น รายเดือน หรือ รายปี ค่ะ,การ ตั้ง ตู้ เสีย เป็น รายเดือน หรือ รายปี ค่ะ,การ ตั้ง ตู้ เสีย เป็น รายเดือน หรือ รายปี ค่ะ,6
ต้องการหนังสือรับรองการซื้อหน่วยลงทุน,ต้องหนังสือรับรองการซื้อหน่วยลงทุน,yes,ต้อง หนังสือรับรอง การ ซื้อ หน่วย ลงทุน,ต้อง หนังสือรับรอง การ ซื้อ หน่วย ลงทุน,ต้อง หนังสือรับรอง การ ซื้อ หน่วย ลงทุน,6
สอบถามเรื่องเหรียญที่ระลึก,สอบถามเรื่องเหรียญที่ระลึก,yes,สอบถาม เรื่อง เหรียญที่ระลึก,สอบถาม เรื่อง เหรียญที่ระลึก,สอบถาม เรื่อง เหรียญที่ระลึก,6
สอบถามยอดผ่อนชำระต่อเดือน,"ถ้าเงินเดือนประมาณ 40,000 ต้องการวงเงินประมาณ 200,000 ผ่อนต่อเดือนเท่าไรค่ะ และ ดอกเบี้ยเท่าไร",no,"ถ้า เงินเดือน ประมาณ 4# , ### ต้องการ วงเงิน ประมาณ 2## , ### ผ่อน ต่อเดือน เท่าไร ค่ะ และ ดอกเบี้ย เท่าไร","ถ้า เงินเดือน ประมาณ 4# , ### ต้องการ วงเงิน ประมาณ 2## , ### ผ่อน ต่อเดือน เท่าไร ค่ะ และ ดอกเบี้ย เท่าไร","ถ้า เงินเดือน ประมาณ 4# , ### ต้องการ วงเงิน ประมาณ 2## , ### ผ่อน ต่อเดือน เท่าไร ค่ะ และ ดอกเบี้ย เท่าไร",6
สอบถามวงเงิน,"อยากทราบว่าเงินเดือนประมาณ 40,000 เราจะได้สินเชื่อประมาณกี่เท่าของเงินเดือน",yes,"อยาก ทราบว่า เงินเดือน ประมาณ 4# , ### เรา จะ ได้ สินเชื่อ ประมาณ กี่ เท่า ของ เงินเดือน","อยาก ทราบว่า เงินเดือน ประมาณ 4# , ### เรา จะ ได้ สินเชื่อ ประมาณ กี่ เท่า ของ เงินเดือน","อยาก ทราบว่า เงินเดือน ประมาณ 4# , ### เรา จะ ได้ สินเชื่อ ประมาณ กี่ เท่า ของ เงินเดือน",6
แจ้งบัตรชำรุด,บัตรหมดชำรุดสามารถที่จะทำที่ธนาคารต่างสาขาได้ไหม,no,บัตร หมด ชำรุด สามารถ ที่ จะทำ ที่ ธนาคาร ต่าง สาขา ได้ไหม,บัตร หมด ชำรุด สามารถ ที่ จะทำ ที่ ธนาคาร ต่าง สาขา ได้ไหม,บัตร หมด ชำรุด สามารถ ที่ จะทำ ที่ ธนาคาร ต่าง สาขา ได้ไหม,6
เปลี่ยนแปลงที่อยู่จัดส่งเอกสาร,เปลี่ยนที่อยู่ส่งเอกสารใหม่ต้องทำไงอ่ะ,no,เปลี่ยน ที่อยู่ ส่ง เอกสาร ใหม่ ต้อง ทำไง อ ่ ะ,เปลี่ยน ที่อยู่ ส่ง เอกสาร ใหม่ ต้องทำไง อะ,เปลี่ยน ที่อยู่ ส่ง เอกสาร ใหม่ ต้องทำไง อะ,6
เปลี่ยนแปลงที่อยู่,เปลี่ยนแปลงที่อยู่ สามารถโทร call center ได้ไหม หรือ จะให้ติดต่อที่ธนาคารที่สาขาที่เราเปิด,no,เปลี่ยนแปลง ที่อยู่ สามารถ โทร call center ได้ไหม หรือ จะ ให้ ติดต่อ ที่ ธนาคาร ที่ สาขา ที่ เรา เปิด,เปลี่ยนแปลง ที่อยู่ สามารถ โทร call center ได้ไหม หรือ จะ ให้ ติดต่อ ที่ ธนาคาร ที่ สาขา ที่ เรา เปิด,เปลี่ยนแปลง ที่อยู่ สามารถ โทร call center ได้ไหม หรือ จะ ให้ ติดต่อ ที่ ธนาคาร ที่ สาขา ที่ เรา เปิด,6
เปลี่ยนแปลงชื่อสกุล,เปลี่ยนนามสกุลต้องแจ้งธนาคารไหม,yes,เปลี่ยน นามสกุล ต้อง แจ้ง ธนาคาร ไหม,เปลี่ยน นามสกุล ต้อง แจ้ง ธนาคาร ไหม,เปลี่ยน นามสกุล ต้อง แจ้ง ธนาคาร ไหม,6
แจ้งปัญหาการใช้งานตู้ atm,ตู้ atm บางตู้ไม่รองรับกับบัตร atm chip card ใช่หรือไม่ ถึงได้กดไม่ได้,yes,ตู้ atm บาง ตู้ ไม่ รองรับ กับ บัตร atm chip card ใช่ หรือไม่ ถึง ได้ กด ไม่ได้,ตู้ atm บาง ตู้ ไม่ รองรับ กับ บัตร atm chip card ใช่ หรือไม่ ถึง ได้ กด ไม่ได้,ตู้ atm บาง ตู้ ไม่ รองรับ กับ บัตร atm chip card ใช่ หรือไม่ ถึง ได้ กด ไม่ได้,6
ปัญหาการกดเงินสดตู้ต่างธนาคาร,chip card มีปัญหากดต่างธนาคารไม่ได้ทำไมตู้ไม่อ่านแถบแม่เหล็กแทน,yes,chip card มีปัญหา กด ต่าง ธนาคาร ไม่ได้ ทำไม ตู้ ไม่ อ่าน แถบแม่เหล็ก แทน,chip card มีปัญหา กด ต่าง ธนาคาร ไม่ได้ ทำไม ตู้ ไม่ อ่าน แถบแม่เหล็ก แทน,chip card มีปัญหา กด ต่าง ธนาคาร ไม่ได้ ทำไม ตู้ ไม่ อ่าน แถบแม่เหล็ก แทน,6
สอบถามการปิดบัญชี,ปิดบัญชีต่างสาขาได้ยัง บัญชีเงินฝากประจำ,no,ปิดบัญชี ต่าง สาขา ได้ ยัง บัญชีเงินฝาก ประจำ,ปิดบัญชี ต่าง สาขา ได้ ยัง บัญชีเงินฝาก ประจำ,ปิดบัญชี ต่าง สาขา ได้ ยัง บัญชีเงินฝาก ประจำ,6
ต้องการให้ธนาคารติดต่อกลับ,ไม่เห็นติดต่อกลับมาเลยคะ โทรไปก้อรอสายน้านนาน,yes,ไม่เห็น ติดต่อ กลับมา เลย คะ โทร ไป ก้อ รอ สาย น้าน นาน,ไม่เห็น ติดต่อ กลับมา เลย คะ โทร ไป ก็ รอ สาย น้าน นาน,ไม่เห็น ติดต่อ กลับมา เลย คะ โทร ไป ก็ รอ สาย น้าน นาน,6
สอบถามข้อมูลสำนักงานใหญ่,ขอเบอร์ calll center ของสำนักงานใหญ่ด้วยครับ,yes,ขอ เบอร์ calll center ของ สำนักงานใหญ่ ด้วย ครับ,ขอ เบอร์ calll center ของ สำนักงานใหญ่ ด้วย ครับ,ขอ เบอร์ calll center ของ สำนักงานใหญ่ ด้วย ครับ,6
บัญชีไม่มีการเคลื่อนไหว,ยอดในบัญชีออมทรัพย์ขั้นต่ำควรจะมีกี่บาท จึงจะไม่โดนคิดค่ารักษาบัญชี,no,ยอด ใน บัญชี ออมทรัพย์ ขั้นต่ำ ควรจะ มี กี่ บาท จึง จะ ไม่โดน คิด ค่า รักษา บัญชี,ยอด ใน บัญชี ออมทรัพย์ ขั้นต่ำ ควรจะ มี กี่ บาท จึง จะ ไม่โดน คิด ค่า รักษา บัญชี,ยอด ใน บัญชี ออมทรัพย์ ขั้นต่ำ ควรจะ มี กี่ บาท จึง จะ ไม่โดน คิด ค่า รักษา บัญชี,6
สอบถามยอดชำระ,ตอนนี้รถยนต์มีค่างวดที่ต้องชำระเท่าไร,yes,ตอนนี้ รถยนต์ มีค่า งวด ที่ ต้อง ชำระ เท่าไร,ตอนนี้ รถยนต์ มีค่า งวด ที่ ต้อง ชำระ เท่าไร,ตอนนี้ รถยนต์ มีค่า งวด ที่ ต้อง ชำระ เท่าไร,6
ตรวจสอบสถานะการจัดส่งของกำนัล,แลกกระเป๋าไปนานแล้วค่ะ แต่ยังไม่ได้,yes,แลก กระเป๋า ไป นาน แล้ว ค่ะ แต่ ยัง ไม่ได้,แลก กระเป๋า ไป นาน แล้ว ค่ะ แต่ ยัง ไม่ได้,แลก กระเป๋า ไป นาน แล้ว ค่ะ แต่ ยัง ไม่ได้,6
ลืมรหัส,จะจ่ายบัตร ลืมรหัสหน้าบัตรทำไงดี,yes,จะจ่าย บัตร ลืม รหัส หน้า บัตร ทำ ไงดี,จะจ่าย บัตร ลืม รหัส หน้า บัตร ทำ ไงดี,จะจ่าย บัตร ลืม รหัส หน้า บัตร ทำ ไงดี,6
สอบถามเงื่อนไขการสมัครสินเชื่อ,ขอทราบเงื่อนไขการสมัครสินเชื่อ,yes,ขอ ทราบ เงื่อนไข การ สมัคร สินเชื่อ,ขอ ทราบ เงื่อนไข การ สมัคร สินเชื่อ,ขอ ทราบ เงื่อนไข การ สมัคร สินเชื่อ,6
สมัคร promptpay,อยากสมัครพร้อมเพย์กับกรุงศรี,yes,อยาก สมัคร พร้อม เพย์ กับ กรุงศรี,อยากสมัคร promptpay กับ กรุงศรี,อยากสมัคร promptpay กับ กรุงศรี,6
ปัญหาโอนเงิน promptpay แต่ปลายทางไม่ได้รับ,ทำไมโอนพร้อมเพย์ ปลายทางบอกไม่ได้เงิน,no,ทำไม โอน พร้อม เพย์ ปลายทาง บอก ไม่ได้ เงิน,ทำไม โอน promptpay ปลายทาง บอก ไม่ได้ เงิน,ทำไม โอน promptpay ปลายทาง บอก ไม่ได้ เงิน,6
รหัสถูก lock,password lock ทำอย่างไร (บริการ kol),no,password lock ทำ อย่างไร ( บริการ kol ),password lock ทำอย่างไร ( บริการ kol ),password lock ทำอย่างไร ( บริการ kol ),6
ตรวจสอบสถานะการจัดส่งเอกสาร,ขอเอกสารภาษี ต้องรอนานไหม,yes,ขอ เอกสาร ภาษี ต้อง รอ นาน ไหม,ขอ เอกสาร ภาษี ต้อง รอ นาน ไหม,ขอ เอกสาร ภาษี ต้อง รอ นาน ไหม,6
สอบถามข้อมูลสินเชื่อ,กู้รถผ่อนได้สูงสุดกี่เดือน,yes,กู้ รถ ผ่อน ได้ สูงสุด กี่ เดือน,กู้ รถ ผ่อน ได้ สูงสุด กี่ เดือน,กู้ รถ ผ่อน ได้ สูงสุด กี่ เดือน,6
ปลดอายัดบัญชี,อายัดบัญชีแล้วปลดได้ไหม,no,อายัด บัญชี แล้ว ปลด ได้ไหม,อายัด บัญชี แล้ว ปลด ได้ไหม,อายัด บัญชี แล้ว ปลด ได้ไหม,6
